year,race,position,number,driver,car,time,laps
2004,China,14,8, Alonso,Renault,1:34.599,3
2004,China,15,18, Heidfeld,Jordan Ford,1:34.808,3
2004,China,16,16, Zonta,Toyota,1:34.958,3
2004,China,17,15, Klien,Jaguar Cosworth,1:35.447,3
2004,China,18,20, Bruni,Minardi Cosworth,1:36.623,3
2004,China,19,19, Glock,Jordan Ford,1:37.143,3
2004,China,20,21, Baumgartner,Minardi Cosworth,1:37.510,3
2004,Japan,1,16, Trulli,Toyota,1:37.716,3
2004,Japan,2,1, Schumacher,Ferrari,1:38.397,3
2004,Japan,3,4, Schumacher,Williams BMW,1:38.864,3
2004,Japan,4,14, Webber,Jaguar Cosworth,1:39.170,3
2004,Japan,5,17, Panis,Toyota,1:40.029,3
2004,Japan,6,10, Sato,BAR Honda,1:40.135,3
2004,Japan,7,11, Fisichella,Sauber Petronas,1:40.151,3
2004,Japan,8,2, Barrichello,Ferrari,1:41.001,3
2004,Japan,9,5, Coulthard,McLaren Mercedes,1:41.126,3
2004,Japan,10,9, Button,BAR Honda,1:41.423,3
2004,Japan,11,6, Räikkönen,McLaren Mercedes,1:41.517,3
2004,Japan,12,12, Massa,Sauber Petronas,1:41.707,3
2004,Japan,13,7, Villeneuve,Renault,1:41.857,3
2004,Japan,14,15, Klien,Jaguar Cosworth,1:42.054,3
2004,Japan,15,8, Alonso,Renault,1:42.056,3
2004,Japan,16,18, Heidfeld,Jordan Ford,1:42.434,3
2004,Japan,17,19, Glock,Jordan Ford,1:43.682,3
2004,Japan,18,3, Montoya,Williams BMW,1:44.370,3
2004,Japan,19,20, Bruni,Minardi Cosworth,1:45.415,3
2004,Japan,20,21, Baumgartner,Minardi Cosworth,,2
2004,Brazil,1,2, Barrichello,Ferrari,1:09.822,3
2004,Brazil,2,3, Montoya,Williams BMW,1:09.862,3
2004,Brazil,3,12, Massa,Sauber Petronas,1:09.930,3
2004,Brazil,4,1, Schumacher,Ferrari,1:10.192,3
2004,Brazil,5,4, Schumacher,Williams BMW,1:10.258,3
2004,Brazil,6,10, Sato,BAR Honda,1:10.373,3
2004,Brazil,7,5, Coulthard,McLaren Mercedes,1:10.418,3
2004,Brazil,8,6, Räikkönen,McLaren Mercedes,1:10.440,3
2004,Brazil,9,11, Fisichella,Sauber Petronas,1:10.467,3
2004,Brazil,10,16, Trulli,Toyota,1:10.478,3
2004,Brazil,11,9, Button,BAR Honda,1:10.607,3
2004,Brazil,12,8, Alonso,Renault,1:10.637,3
2004,Brazil,13,7, Villeneuve,Renault,1:10.708,3
2004,Brazil,14,14, Webber,Jaguar Cosworth,1:11.230,3
2004,Brazil,15,17, Zonta,Toyota,1:11.315,3
2004,Brazil,16,18, Heidfeld,Jordan Ford,1:11.394,3
2004,Brazil,17,15, Klien,Jaguar Cosworth,1:11.912,3
2004,Brazil,18,19, Glock,Jordan Ford,1:12.242,3
2004,Brazil,19,20, Bruni,Minardi Cosworth,1:12.916,3
2004,Brazil,20,21, Baumgartner,Minardi Cosworth,1:13.032,3
2003,Australia,1,2, Barrichello,Ferrari,1:26.372,3
2003,Australia,2,6, Räikkönen,McLaren Mercedes,1:26.551,3
2003,Australia,3,16, Villeneuve,BAR Honda,1:26.832,3
2003,Australia,4,1, Schumacher,Ferrari,1:27.103,3
2003,Australia,5,17, Button,BAR Honda,1:27.159,3
2003,Australia,6,5, Coulthard,McLaren Mercedes,1:27.242,3
2003,Australia,7,8, Alonso,Renault,1:27.255,3
2003,Australia,8,20, Panis,Toyota,1:27.352,3
2003,Australia,9,7, Trulli,Renault,1:27.411,3
2003,Australia,10,3, Montoya,Williams BMW,1:27.450,3
2003,Australia,11,21, da Matta,Toyota,1:27.478,3
2003,Australia,12,9, Heidfeld,Sauber Petronas,1:27.510,3
2003,Australia,13,10, Frentzen,Sauber Petronas,1:27.563,3
2003,Australia,14,11, Fisichella,Jordan Ford,1:27.633,3
2003,Australia,15,14, Webber,Jaguar Cosworth,1:27.675,3
2003,Australia,16,4, Schumacher,Williams BMW,1:28.266,3
2003,Australia,17,12, Firman,Jordan Ford,1:29.977,3
2003,Australia,18,19, Verstappen,Minardi Cosworth,1:30.053,3
2003,Australia,19,15, Pizzonia,Jaguar Cosworth,1:30.092,3
2003,Australia,20,18, Wilson,Minardi Cosworth,1:30.479,3
2003,Malaysia,1,1, Schumacher,Ferrari,1:34.980,3
2003,Malaysia,2,2, Barrichello,Ferrari,1:35.681,3
2003,Malaysia,3,3, Montoya,Williams BMW,1:35.939,3
2003,Malaysia,4,6, Räikkönen,McLaren Mercedes,1:36.038,3
2003,Malaysia,5,5, Coulthard,McLaren Mercedes,1:36.297,3
2003,Malaysia,6,7, Trulli,Renault,1:36.301,3
2003,Malaysia,7,9, Heidfeld,Sauber Petronas,1:36.407,3
2003,Malaysia,8,10, Frentzen,Sauber Petronas,1:36.615,3
2003,Malaysia,9,17, Button,BAR Honda,1:36.632,3
2003,Malaysia,10,8, Alonso,Renault,1:36.693,3
2003,Malaysia,11,21, da Matta,Toyota,1:36.706,3
2003,Malaysia,12,11, Fisichella,Jordan Ford,1:36.759,3
2003,Malaysia,13,4, Schumacher,Williams BMW,1:36.805,3
2003,Malaysia,14,20, Panis,Toyota,1:36.995,3
2003,Malaysia,15,16, Villeneuve,BAR Honda,1:37.585,3
2003,Malaysia,16,14, Webber,Jaguar Cosworth,1:37.669,3
2003,Malaysia,17,12, Firman,Jordan Ford,1:38.240,3
2003,Malaysia,18,19, Verstappen,Minardi Cosworth,1:38.904,3
2003,Malaysia,19,18, Wilson,Minardi Cosworth,1:39.354,3
2003,Brazil,1,14, Webber,Jaguar Cosworth,1:23.111,3
2003,Brazil,2,2, Barrichello,Ferrari,1:23.249,3
2003,Brazil,3,6, Räikkönen,McLaren Mercedes,1:24.607,3
2003,Brazil,4,5, Coulthard,McLaren Mercedes,1:24.655,3
2003,Brazil,5,1, Schumacher,Ferrari,1:25.585,3
2003,Brazil,6,20, Panis,Toyota,1:25.614,3
2003,Brazil,7,16, Villeneuve,BAR Honda,1:25.672,3
2003,Brazil,8,15, Pizzonia,Jaguar Cosworth,1:25.764,3
2003,Brazil,9,8, Alonso,Renault,1:26.203,3
2003,Brazil,10,10, Frentzen,Sauber Petronas,1:26.375,3
2003,Brazil,11,21, da Matta,Toyota,1:26.554,3
2003,Brazil,12,7, Trulli,Renault,1:26.557,3
2003,Brazil,13,4, Schumacher,Williams BMW,1:26.709,3
2003,Brazil,14,11, Fisichella,Jordan Ford,1:26.726,3
2003,Brazil,15,19, Verstappen,Minardi Cosworth,1:26.886,3
2003,Brazil,16,9, Heidfeld,Sauber Petronas,1:27.111,3
2003,Brazil,17,3, Montoya,Williams BMW,1:27.961,3
2003,Brazil,18,12, Firman,Jordan Ford,1:28.083,3
2003,Brazil,19,18, Wilson,Minardi Cosworth,1:28.317,3
2003,Brazil,20,17, Button,BAR Honda,,2
2003,San Marino,1,1, Schumacher,Ferrari,1:20.628,3
2003,San Marino,2,2, Barrichello,Ferrari,1:21.082,3
2003,San Marino,3,4, Schumacher,Williams BMW,1:21.193,3
2003,San Marino,4,3, Montoya,Williams BMW,1:21.490,3
2003,San Marino,5,14, Webber,Jaguar Cosworth,1:21.669,3
2003,San Marino,6,17, Button,BAR Honda,1:21.891,3
2003,San Marino,7,16, Villeneuve,BAR Honda,1:21.926,3
2003,San Marino,8,6, Räikkönen,McLaren Mercedes,1:22.147,3
2003,San Marino,9,5, Coulthard,McLaren Mercedes,1:22.326,3
2003,San Marino,10,10, Frentzen,Sauber Petronas,1:22.531,3
2003,San Marino,11,11, Fisichella,Jordan Ford,1:22.724,3
2003,San Marino,12,20, Panis,Toyota,1:22.765,3
2003,San Marino,13,8, Alonso,Renault,1:22.809,3
2003,San Marino,14,9, Heidfeld,Sauber Petronas,1:22.911,3
2003,San Marino,15,15, Pizzonia,Jaguar Cosworth,1:22.919,3
2003,San Marino,16,7, Trulli,Renault,1:23.100,3
2003,San Marino,17,12, Firman,Jordan Ford,1:24.360,3
2003,San Marino,18,21, da Matta,Toyota,1:24.854,3
2003,San Marino,19,19, Verstappen,Minardi Cosworth,1:24.990,3
2003,San Marino,20,18, Wilson,Minardi Cosworth,1:25.195,3
2003,Spain,1,1, Schumacher,Ferrari,1:17.130,3
2003,Spain,2,7, Trulli,Renault,1:17.149,3
2003,Spain,3,2, Barrichello,Ferrari,1:17.218,3
2003,Spain,4,21, da Matta,Toyota,1:17.443,3
2003,Spain,5,17, Button,BAR Honda,1:17.613,3
2003,Spain,6,20, Panis,Toyota,1:17.746,3
2003,Spain,7,14, Webber,Jaguar Cosworth,1:17.793,3
2003,Spain,8,6, Räikkönen,McLaren Mercedes,1:17.862,3
2003,Spain,9,5, Coulthard,McLaren Mercedes,1:18.060,3
2003,Spain,10,8, Alonso,Renault,1:18.100,3
2003,Spain,11,4, Schumacher,Williams BMW,1:18.409,3
2003,Spain,12,16, Villeneuve,BAR Honda,1:18.461,3
2003,Spain,13,15, Pizzonia,Jaguar Cosworth,1:18.528,3
2003,Spain,14,3, Montoya,Williams BMW,1:18.607,3
2003,Spain,15,11, Fisichella,Jordan Ford,1:18.879,3
2003,Spain,16,10, Frentzen,Sauber Petronas,1:18.909,3
2003,Spain,17,9, Heidfeld,Sauber Petronas,1:19.050,3
2003,Spain,18,12, Firman,Jordan Ford,1:19.195,3
2003,Spain,19,19, Verstappen,Minardi Cosworth,1:20.822,3
2003,Spain,20,18, Wilson,Minardi Cosworth,1:21.100,3
2003,Austria,1,1, Schumacher,Ferrari,1:07.908,3
2003,Austria,2,2, Barrichello,Ferrari,1:08.187,3
2003,Austria,3,14, Webber,Jaguar Cosworth,1:08.512,3
2003,Austria,4,16, Villeneuve,BAR Honda,1:08.680,3
2003,Austria,5,17, Button,BAR Honda,1:08.831,3
2003,Austria,6,3, Montoya,Williams BMW,1:08.839,4
2003,Austria,7,5, Coulthard,McLaren Mercedes,1:08.947,3
2003,Austria,8,6, Räikkönen,McLaren Mercedes,1:08.978,3
2003,Austria,9,15, Pizzonia,Jaguar Cosworth,1:09.024,3
2003,Austria,10,11, Fisichella,Jordan Ford,1:09.281,3
2003,Austria,11,7, Trulli,Renault,1:09.450,3
2003,Austria,12,9, Heidfeld,Sauber Petronas,1:09.479,3
2003,Austria,13,8, Alonso,Renault,1:09.680,3
2003,Austria,14,20, Panis,Toyota,1:09.764,4
2003,Austria,15,10, Frentzen,Sauber Petronas,1:10.055,3
2003,Austria,16,21, da Matta,Toyota,1:10.370,3
2003,Austria,17,19, Verstappen,Minardi Cosworth,1:10.894,3
2003,Austria,18,18, Wilson,Minardi Cosworth,1:11.056,3
2003,Austria,19,12, Firman,Jordan Ford,1:11.171,2
2003,Austria,20,4, Schumacher,Williams BMW,,2
2003,Monaco,1,1, Schumacher,Ferrari,1:16.305,3
2003,Monaco,2,2, Barrichello,Ferrari,1:16.636,3
2003,Monaco,3,17, Button,BAR Honda,1:16.895,3
2003,Monaco,4,7, Trulli,Renault,1:16.905,3
2003,Monaco,5,5, Coulthard,McLaren Mercedes,1:17.059,3
2003,Monaco,6,4, Schumacher,Williams BMW,1:17.063,3
2003,Monaco,7,11, Fisichella,Jordan Ford,1:17.080,3
2003,Monaco,8,3, Montoya,Williams BMW,1:17.108,3
2003,Monaco,9,14, Webber,Jaguar Cosworth,1:17.637,4
2003,Monaco,10,9, Heidfeld,Sauber Petronas,1:17.912,3
2003,Monaco,11,6, Räikkönen,McLaren Mercedes,1:17.926,3
2003,Monaco,12,16, Villeneuve,BAR Honda,1:18.109,3
2003,Monaco,13,12, Firman,Jordan Ford,1:18.286,3
2003,Monaco,14,8, Alonso,Renault,1:18.370,3
2003,Monaco,15,15, Pizzonia,Jaguar Cosworth,1:18.967,3
2003,Monaco,16,19, Verstappen,Minardi Cosworth,1:19.421,3
2003,Monaco,17,18, Wilson,Minardi Cosworth,1:19.680,3
2003,Monaco,18,20, Panis,Toyota,1:19.903,3
2003,Monaco,19,21, da Matta,Toyota,1:20.374,3
2003,Monaco,20,10, Frentzen,Sauber Petronas,,2
2003,Canada,1,2, Barrichello,Ferrari,1:30.925,3
2003,Canada,2,1, Schumacher,Ferrari,1:31.969,3
2003,Canada,3,9, Heidfeld,Sauber Petronas,1:32.778,3
2003,Canada,4,12, Firman,Jordan Ford,1:34.759,3
2003,Canada,5,8, Alonso,Renault,1:35.173,3
2003,Canada,6,6, Räikkönen,McLaren Mercedes,1:35.373,3
2003,Canada,7,10, Frentzen,Sauber Petronas,1:35.776,3
2003,Canada,8,5, Coulthard,McLaren Mercedes,1:36.463,3
2003,Canada,9,14, Webber,Jaguar Cosworth,1:36.699,3
2003,Canada,10,20, Panis,Toyota,1:37.313,3
2003,Canada,11,19, Verstappen,Minardi Cosworth,1:37.426,3
2003,Canada,12,3, Montoya,Williams BMW,1:37.479,3
2003,Canada,13,18, Wilson,Minardi Cosworth,1:38.088,3
2003,Canada,14,17, Button,BAR Honda,1:38.109,3
2003,Canada,15,4, Schumacher,Williams BMW,1:38.210,3
2003,Canada,16,21, da Matta,Toyota,1:38.244,3
2003,Canada,17,15, Pizzonia,Jaguar Cosworth,1:38.255,3
2003,Canada,18,11, Fisichella,Jordan Ford,1:38.617,3
2003,Canada,19,7, Trulli,Renault,1:41.413,3
2003,Canada,20,16, Villeneuve,BAR Honda,1:44.702,3
2003,Europe,1,6, Räikkönen,McLaren Mercedes,1:29.989,3
2003,Europe,2,1, Schumacher,Ferrari,1:30.353,3
2003,Europe,3,3, Montoya,Williams BMW,1:30.378,3
2003,Europe,4,4, Schumacher,Williams BMW,1:30.522,3
2003,Europe,5,2, Barrichello,Ferrari,1:30.842,3
2003,Europe,6,5, Coulthard,McLaren Mercedes,1:30.903,3
2003,Europe,7,7, Trulli,Renault,1:31.143,3
2003,Europe,8,8, Alonso,Renault,1:31.533,3
2003,Europe,9,11, Fisichella,Jordan Ford,1:32.196,3
2003,Europe,10,10, Frentzen,Sauber Petronas,1:32.201,3
2003,Europe,11,17, Button,BAR Honda,1:32.479,3
2003,Europe,12,14, Webber,Jaguar Cosworth,1:35.972,3
2003,Europe,13,9, Heidfeld,Sauber Petronas,1:52.300,3
2003,Europe,14,12, Firman,Jordan Ford,1:53.893,3
2003,Europe,15,18, Wilson,Minardi Cosworth,1:54.546,3
2003,Europe,16,19, Verstappen,Minardi Cosworth,1:55.921,3
2003,Europe,17,20, Panis,Toyota,1:57.327,4
2003,Europe,18,15, Pizzonia,Jaguar Cosworth,1:57.435,3
2003,Europe,19,21, da Matta,Toyota,,2
2003,Europe,20,16, Villeneuve,BAR Honda,,2
2003,France,1,19, Verstappen,Minardi Cosworth,1:20.817,3
2003,France,2,12, Firman,Jordan Ford,1:23.496,3
2003,France,3,9, Heidfeld,Sauber Petronas,1:24.042,3
2003,France,4,20, Panis,Toyota,1:24.175,3
2003,France,5,15, Pizzonia,Jaguar Cosworth,1:24.642,3
2003,France,6,16, Villeneuve,BAR Honda,1:24.651,3
2003,France,7,14, Webber,Jaguar Cosworth,1:25.178,3
2003,France,8,10, Frentzen,Sauber Petronas,1:26.151,3
2003,France,9,21, da Matta,Toyota,1:26.975,3
2003,France,10,2, Barrichello,Ferrari,1:27.095,3
2003,France,11,1, Schumacher,Ferrari,1:27.929,3
2003,France,12,11, Fisichella,Jordan Ford,1:28.502,3
2003,France,13,5, Coulthard,McLaren Mercedes,1:28.937,3
2003,France,14,3, Montoya,Williams BMW,1:28.988,3
2003,France,15,7, Trulli,Renault,1:29.024,3
2003,France,16,6, Räikkönen,McLaren Mercedes,1:29.120,3
2003,France,17,4, Schumacher,Williams BMW,1:29.327,3
2003,France,18,8, Alonso,Renault,1:29.455,3
2003,France,19,17, Button,BAR Honda,1:30.731,3
2003,France,20,18, Wilson,Minardi Cosworth,,3
2003,Great Britain,1,1, Schumacher,Ferrari,1:19.474,3
2003,Great Britain,2,3, Montoya,Williams BMW,1:19.749,3
2003,Great Britain,3,4, Schumacher,Williams BMW,1:19.788,3
2003,Great Britain,4,8, Alonso,Renault,1:19.907,3
2003,Great Britain,5,20, Panis,Toyota,1:19.959,3
2003,Great Britain,6,7, Trulli,Renault,1:19.963,3
2003,Great Britain,7,5, Coulthard,McLaren Mercedes,1:19.968,3
2003,Great Britain,8,14, Webber,Jaguar Cosworth,1:20.171,3
2003,Great Britain,9,17, Button,BAR Honda,1:20.569,3
2003,Great Britain,10,21, da Matta,Toyota,1:20.765,3
2003,Great Britain,11,15, Pizzonia,Jaguar Cosworth,1:20.877,3
2003,Great Britain,12,6, Räikkönen,McLaren Mercedes,1:21.065,3
2003,Great Britain,13,16, Villeneuve,BAR Honda,1:21.084,3
2003,Great Britain,14,9, Heidfeld,Sauber Petronas,1:21.211,3
2003,Great Britain,15,10, Frentzen,Sauber Petronas,1:21.363,3
2003,Great Britain,16,11, Fisichella,Jordan Ford,1:21.500,3
2003,Great Britain,17,12, Firman,Jordan Ford,1:22.335,3
2003,Great Britain,18,19, Verstappen,Minardi Cosworth,1:23.418,3
2003,Great Britain,19,2, Barrichello,Ferrari,,2
2003,Great Britain,20,18, Wilson,Minardi Cosworth,,1
2003,Germany,1,4, Schumacher,Williams BMW,1:14.427,3
2003,Germany,2,3, Montoya,Williams BMW,1:14.673,3
2003,Germany,3,7, Trulli,Renault,1:15.004,3
2003,Germany,4,14, Webber,Jaguar Cosworth,1:15.030,3
2003,Germany,5,8, Alonso,Renault,1:15.214,3
2003,Germany,6,6, Räikkönen,McLaren Mercedes,1:15.276,3
2003,Germany,7,15, Wilson,Jaguar Cosworth,1:15.373,3
2003,Germany,8,2, Barrichello,Ferrari,1:15.399,3
2003,Germany,9,1, Schumacher,Ferrari,1:15.456,3
2003,Germany,10,20, Panis,Toyota,1:15.471,3
2003,Germany,11,5, Coulthard,McLaren Mercedes,1:15.557,3
2003,Germany,12,17, Button,BAR Honda,1:15.754,3
2003,Germany,13,10, Frentzen,Sauber Petronas,1:15.968,3
2003,Germany,14,9, Heidfeld,Sauber Petronas,1:15.985,3
2003,Germany,15,21, da Matta,Toyota,1:16.450,3
2003,Germany,16,12, Firman,Jordan Ford,1:17.044,3
2003,Germany,17,11, Fisichella,Jordan Ford,1:17.111,3
2003,Germany,18,19, Verstappen,Minardi Cosworth,1:17.702,3
2003,Germany,19,16, Villeneuve,BAR Honda,,2
2003,Hungary,1,7, Trulli,Renault,1:22.358,3
2003,Hungary,2,4, Schumacher,Williams BMW,1:22.413,3
2003,Hungary,3,14, Webber,Jaguar Cosworth,1:22.625,3
2003,Hungary,4,5, Coulthard,McLaren Mercedes,1:22.786,3
2003,Hungary,5,2, Barrichello,Ferrari,1:22.892,3
2003,Hungary,6,8, Alonso,Renault,1:22.953,3
2003,Hungary,7,20, Panis,Toyota,1:22.986,3
2003,Hungary,8,3, Montoya,Williams BMW,1:23.305,3
2003,Hungary,9,1, Schumacher,Ferrari,1:23.430,3
2003,Hungary,10,9, Heidfeld,Sauber Petronas,1:23.482,3
2003,Hungary,11,10, Frentzen,Sauber Petronas,1:23.660,3
2003,Hungary,12,6, Räikkönen,McLaren Mercedes,1:23.695,3
2003,Hungary,13,17, Button,BAR Honda,1:24.313,3
2003,Hungary,14,16, Villeneuve,BAR Honda,1:24.333,3
2003,Hungary,15,15, Wilson,Jaguar Cosworth,1:24.343,3
2003,Hungary,16,11, Fisichella,Jordan Ford,1:24.725,3
2003,Hungary,17,12, Firman,Jordan Ford,1:25.223,3
2003,Hungary,18,19, Verstappen,Minardi Cosworth,1:26.052,3
2003,Hungary,19,18, Kiesa,Minardi Cosworth,1:27.023,3
2003,Hungary,20,21, da Matta,Toyota,1:55.138,3
2003,Italy,1,3, Montoya,Williams BMW,1:20.656,3
2003,Italy,2,2, Barrichello,Ferrari,1:20.784,3
2003,Italy,3,1, Schumacher,Ferrari,1:21.268,3
2003,Italy,4,21, da Matta,Toyota,1:21.829,3
2003,Italy,5,6, Räikkönen,McLaren Mercedes,1:21.966,3
2003,Italy,6,14, Webber,Jaguar Cosworth,1:21.966,3
2003,Italy,7,7, Trulli,Renault,1:22.034,3
2003,Italy,8,8, Alonso,Renault,1:22.103,3
2003,Italy,9,10, Frentzen,Sauber Petronas,1:22.203,3
2003,Italy,10,20, Panis,Toyota,1:22.372,3
2003,Italy,11,17, Button,BAR Honda,1:22.495,3
2003,Italy,12,9, Heidfeld,Sauber Petronas,1:22.547,3
2003,Italy,13,16, Villeneuve,BAR Honda,1:22.858,3
2003,Italy,14,5, Coulthard,McLaren Mercedes,1:23.154,3
2003,Italy,15,15, Wilson,Jaguar Cosworth,1:23.609,3
2003,Italy,16,11, Fisichella,Jordan Ford,1:24.179,3
2003,Italy,17,12, Baumgartner,Jordan Ford,1:24.872,3
2003,Italy,18,18, Kiesa,Minardi Cosworth,1:26.299,3
2003,Italy,19,4, Schumacher,Williams BMW,,3
2003,United States,1,7, Trulli,Renault,1:09.566,3
2003,United States,2,2, Barrichello,Ferrari,1:09.835,3
2003,United States,3,14, Webber,Jaguar Cosworth,1:10.081,3
2003,United States,4,4, Schumacher,Williams BMW,1:10.222,3
2003,United States,5,3, Montoya,Williams BMW,1:10.372,3
2003,United States,6,5, Coulthard,McLaren Mercedes,1:10.450,3
2003,United States,7,8, Alonso,Renault,1:10.556,3
2003,United States,8,1, Schumacher,Ferrari,1:10.736,3
2003,United States,9,6, Räikkönen,McLaren Mercedes,1:10.756,3
2003,United States,10,17, Button,BAR Honda,1:11.847,3
2003,United States,11,21, da Matta,Toyota,1:11.949,3
2003,United States,12,11, Fisichella,Jordan Ford,1:12.227,3
2003,United States,13,10, Frentzen,Sauber Petronas,1:13.541,3
2003,United States,14,20, Panis,Toyota,1:17.666,3
2003,United States,15,9, Heidfeld,Sauber Petronas,1:17.768,3
2003,United States,16,16, Villeneuve,BAR Honda,1:18.547,3
2003,United States,17,12, Firman,Jordan Ford,1:19.383,3
2003,United States,18,15, Wilson,Jaguar Cosworth,1:19.491,3
2003,United States,19,18, Kiesa,Minardi Cosworth,1:21.973,3
2003,United States,20,19, Verstappen,Minardi Cosworth,,1
2003,Japan,1,7, Trulli,Renault,1:30.281,3
2003,Japan,2,4, Schumacher,Williams BMW,1:30.343,3
2003,Japan,3,1, Schumacher,Ferrari,1:30.464,3
2003,Japan,4,5, Coulthard,McLaren Mercedes,1:30.482,3
2003,Japan,5,6, Räikkönen,McLaren Mercedes,1:30.558,3
2003,Japan,6,8, Alonso,Renault,1:30.624,3
2003,Japan,7,2, Barrichello,Ferrari,1:30.758,3
2003,Japan,8,3, Montoya,Williams BMW,1:31.201,3
2003,Japan,9,14, Webber,Jaguar Cosworth,1:31.305,3
2003,Japan,10,9, Heidfeld,Sauber Petronas,1:31.783,3
2003,Japan,11,16, Sato,BAR Honda,1:31.832,3
2003,Japan,12,10, Frentzen,Sauber Petronas,1:31.892,3
2003,Japan,13,20, Panis,Toyota,1:31.908,3
2003,Japan,14,21, da Matta,Toyota,1:32.256,3
2003,Japan,15,15, Wilson,Jaguar Cosworth,1:32.291,3
2003,Japan,16,17, Button,BAR Honda,1:32.374,3
2003,Japan,17,12, Firman,Jordan Ford,1:33.057,3
2003,Japan,18,11, Fisichella,Jordan Ford,1:33.313,3
2003,Japan,19,19, Verstappen,Minardi Cosworth,1:34.836,3
2003,Japan,20,18, Kiesa,Minardi Cosworth,1:36.181,3
1995,Brazil,1,5, Hill,Williams Renault,1:20.081,12
1995,Brazil,2,28, Berger,Ferrari,1:21.015,10
1995,Brazil,3,6, Coulthard,Williams Renault,1:21.343,10
1995,Brazil,4,27, Alesi,Ferrari,1:21.655,10
1995,Brazil,5,8, Hakkinen,McLaren Mercedes,1:22.017,11
1995,Brazil,6,1, Schumacher,Benetton Renault,1:22.131,2
1995,Brazil,7,26, Panis,Ligier Mugen Honda,1:22.208,11
1995,Brazil,8,15, Irvine,Jordan Peugeot,1:22.370,9
1995,Brazil,9,7, Blundell,McLaren Mercedes,1:22.821,11
1995,Brazil,10,25, Suzuki,Ligier Mugen Honda,1:23.251,11
1995,Brazil,11,14, Barrichello,Jordan Peugeot,1:23.350,8
1995,Brazil,12,9, Morbidelli,Footwork Hart,1:23.403,11
1995,Brazil,13,4, Salo,Tyrrell Yamaha,1:23.470,6
1995,Brazil,14,30, Frentzen,Sauber Ford,1:24.065,8
1995,Brazil,15,3, Katayama,Tyrrell Yamaha,1:24.165,6
1995,Brazil,16,24, Badoer,Minardi Ford,1:24.443,12
1995,Brazil,17,29, Wendlinger,Sauber Ford,1:24.723,11
1995,Brazil,18,16, Gachot,Pacific Ilmor,1:25.819,11
1995,Brazil,19,10, Inoue,Footwork Hart,1:27.036,12
1995,Brazil,20,22, Moreno,Forti Ford,1:27.204,12
1995,Brazil,21,17, Montermini,Pacific Ilmor,1:27.440,5
1995,Brazil,22,23, Martini,Minardi Ford,1:56.532,2
1995,Brazil,23,12, Verstappen,Simtek Ford,2:01.610,4
1995,Argentina,1,6, Coulthard,Williams Renault,1:54.670,10
1995,Argentina,2,27, Alesi,Ferrari,1:55.213,12
1995,Argentina,3,30, Frentzen,Sauber Ford,1:55.583,12
1995,Argentina,4,5, Hill,Williams Renault,1:55.677,9
1995,Argentina,5,28, Berger,Ferrari,1:56.260,11
1995,Argentina,6,8, Hakkinen,McLaren Mercedes,1:56.449,12
1995,Argentina,7,15, Irvine,Jordan Peugeot,1:56.615,7
1995,Argentina,8,14, Barrichello,Jordan Peugeot,1:56.746,12
1995,Argentina,9,1, Schumacher,Benetton Renault,1:57.056,10
1995,Argentina,10,2, Herbert,Benetton Renault,1:57.068,8
1995,Argentina,11,24, Badoer,Minardi Ford,1:57.167,11
1995,Argentina,12,9, Morbidelli,Footwork Hart,1:57.684,7
1995,Argentina,13,4, Salo,Tyrrell Yamaha,1:57.738,5
1995,Argentina,14,23, Martini,Minardi Ford,1:58.066,8
1995,Argentina,15,7, Blundell,McLaren Mercedes,1:58.660,8
1995,Argentina,16,26, Panis,Ligier Mugen Honda,1:59.204,10
1995,Argentina,17,3, Katayama,Tyrrell Yamaha,1:59.909,9
1995,Argentina,18,25, Suzuki,Ligier Mugen Honda,2:01.446,10
1995,Argentina,19,17, Montermini,Pacific Ilmor,2:01.763,12
1995,Argentina,20,29, Wendlinger,Sauber Ford,2:01.774,10
1995,Argentina,21,12, Verstappen,Simtek Ford,2:02.410,6
1995,Argentina,22,11, Schiattarella,Simtek Ford,2:02.806,7
1995,Argentina,23,16, Gachot,Pacific Ilmor,2:04.050,9
1995,Argentina,24,22, Moreno,Forti Ford,2:04.481,11
1995,Argentina,25,21, Diniz,Forti Ford,2:05.932,10
1995,Argentina,26,10, Inoue,Footwork Hart,2:07.298,4
1995,San Marino,1,1, Schumacher,Benetton Renault,1:27.274,10
1995,San Marino,2,28, Berger,Ferrari,1:27.282,12
1995,San Marino,3,6, Coulthard,Williams Renault,1:27.459,11
1995,San Marino,4,5, Hill,Williams Renault,1:27.537,12
1995,San Marino,5,27, Alesi,Ferrari,1:27.813,12
1995,San Marino,6,8, Hakkinen,McLaren Mercedes,1:28.343,11
1995,San Marino,7,15, Irvine,Jordan Peugeot,1:28.516,8
1995,San Marino,8,2, Herbert,Benetton Renault,1:29.403,12
1995,San Marino,9,7, Mansell,McLaren Mercedes,1:29.517,11
1995,San Marino,10,14, Barrichello,Jordan Peugeot,1:29.580,12
1995,San Marino,11,9, Morbidelli,Footwork Hart,1:29.582,12
1995,San Marino,12,26, Panis,Ligier Mugen Honda,1:30.801,11
1995,San Marino,13,4, Salo,Tyrrell Yamaha,1:31.221,10
1995,San Marino,14,30, Frentzen,Sauber Ford,1:31.358,12
1995,San Marino,15,3, Katayama,Tyrrell Yamaha,1:31.630,11
1995,San Marino,16,12, Verstappen,Simtek Ford,1:32.156,11
