year,race,position,number,driver,car,time,laps
2004,Bahrain,10,11, Fisichella,Sauber Petronas,1:31.203,3
2004,Bahrain,11,2, Barrichello,Ferrari,1:31.283,3
2004,Bahrain,12,16, da Matta,Toyota,1:31.329,3
2004,Bahrain,13,5, Coulthard,McLaren Mercedes,1:31.364,3
2004,Bahrain,14,15, Klien,Jaguar Cosworth,1:31.868,3
2004,Bahrain,15,14, Webber,Jaguar Cosworth,1:31.945,3
2004,Bahrain,16,12, Massa,Sauber Petronas,1:32.152,3
2004,Bahrain,17,18, Heidfeld,Jordan Ford,1:32.640,3
2004,Bahrain,18,19, Pantano,Jordan Ford,1:33.598,3
2004,Bahrain,19,20, Bruni,Minardi Cosworth,1:34.879,3
2004,Bahrain,20,21, Baumgartner,Minardi Cosworth,1:35.632,3
2004,San Marino,1,3, Montoya,Williams BMW,1:19.805,3
2004,San Marino,2,4, Schumacher,Williams BMW,1:20.423,3
2004,San Marino,3,1, Schumacher,Ferrari,1:20.440,3
2004,San Marino,4,5, Coulthard,McLaren Mercedes,1:20.566,3
2004,San Marino,5,9, Button,BAR Honda,1:20.632,3
2004,San Marino,6,11, Fisichella,Sauber Petronas,1:20.716,3
2004,San Marino,7,2, Barrichello,Ferrari,1:20.927,3
2004,San Marino,8,10, Sato,BAR Honda,1:20.984,3
2004,San Marino,9,6, Räikkönen,McLaren Mercedes,1:21.181,3
2004,San Marino,10,17, Panis,Toyota,1:21.231,3
2004,San Marino,11,14, Webber,Jaguar Cosworth,1:21.458,3
2004,San Marino,12,7, Trulli,Renault,1:21.669,3
2004,San Marino,13,16, da Matta,Toyota,1:21.737,3
2004,San Marino,14,8, Alonso,Renault,1:21.799,3
2004,San Marino,15,12, Massa,Sauber Petronas,1:22.154,3
2004,San Marino,16,15, Klien,Jaguar Cosworth,1:22.246,3
2004,San Marino,17,18, Heidfeld,Jordan Ford,1:23.055,3
2004,San Marino,18,19, Pantano,Jordan Ford,1:24.643,3
2004,San Marino,19,20, Bruni,Minardi Cosworth,1:26.463,3
2004,San Marino,20,21, Baumgartner,Minardi Cosworth,1:27.319,3
2004,Spain,1,3, Montoya,Williams BMW,1:15.574,3
2004,Spain,2,11, Fisichella,Sauber Petronas,1:15.746,3
2004,Spain,3,12, Massa,Sauber Petronas,1:15.771,3
2004,Spain,4,4, Schumacher,Williams BMW,1:16.040,3
2004,Spain,5,7, Trulli,Renault,1:16.156,3
2004,Spain,6,17, Panis,Toyota,1:16.168,3
2004,Spain,7,14, Webber,Jaguar Cosworth,1:16.212,3
2004,Spain,8,6, Räikkönen,McLaren Mercedes,1:16.240,3
2004,Spain,9,1, Schumacher,Ferrari,1:16.320,3
2004,Spain,10,10, Sato,BAR Honda,1:16.434,3
2004,Spain,11,9, Button,BAR Honda,1:16.462,3
2004,Spain,12,5, Coulthard,McLaren Mercedes,1:16.465,3
2004,Spain,13,2, Barrichello,Ferrari,1:16.655,3
2004,Spain,14,16, da Matta,Toyota,1:16.758,3
2004,Spain,15,8, Alonso,Renault,1:17.011,3
2004,Spain,16,18, Heidfeld,Jordan Ford,1:17.043,3
2004,Spain,17,15, Klien,Jaguar Cosworth,1:17.863,3
2004,Spain,18,19, Pantano,Jordan Ford,1:17.965,3
2004,Spain,19,20, Bruni,Minardi Cosworth,1:20.372,3
2004,Spain,20,21, Baumgartner,Minardi Cosworth,1:21.620,3
2004,Monaco,1,4, Schumacher,Williams BMW,1:14.483,3
2004,Monaco,2,6, Räikkönen,McLaren Mercedes,1:14.659,3
2004,Monaco,3,5, Coulthard,McLaren Mercedes,1:14.728,3
2004,Monaco,4,9, Button,BAR Honda,1:14.799,3
2004,Monaco,5,11, Fisichella,Sauber Petronas,1:14.814,3
2004,Monaco,6,8, Alonso,Renault,1:14.816,3
2004,Monaco,7,10, Sato,BAR Honda,1:14.931,3
2004,Monaco,8,7, Trulli,Renault,1:14.993,3
2004,Monaco,9,3, Montoya,Williams BMW,1:15.029,3
2004,Monaco,10,17, Panis,Toyota,1:15.125,3
2004,Monaco,11,2, Barrichello,Ferrari,1:15.329,3
2004,Monaco,12,12, Massa,Sauber Petronas,1:15.436,3
2004,Monaco,13,16, da Matta,Toyota,1:15.738,3
2004,Monaco,14,1, Schumacher,Ferrari,1:15.927,3
2004,Monaco,15,14, Webber,Jaguar Cosworth,1:16.161,3
2004,Monaco,16,15, Klien,Jaguar Cosworth,1:16.379,3
2004,Monaco,17,18, Heidfeld,Jordan Ford,1:16.914,3
2004,Monaco,18,19, Pantano,Jordan Ford,1:17.674,3
2004,Monaco,19,21, Baumgartner,Minardi Cosworth,1:20.468,3
2004,Monaco,20,20, Bruni,Minardi Cosworth,1:20.740,3
2004,Europe,1,10, Sato,BAR Honda,1:27.691,3
2004,Europe,2,1, Schumacher,Ferrari,1:28.278,3
2004,Europe,3,4, Schumacher,Williams BMW,1:28.655,3
2004,Europe,4,5, Coulthard,McLaren Mercedes,1:28.717,3
2004,Europe,5,9, Button,BAR Honda,1:28.816,3
2004,Europe,6,6, Räikkönen,McLaren Mercedes,1:28.897,3
2004,Europe,7,2, Barrichello,Ferrari,1:29.014,3
2004,Europe,8,8, Alonso,Renault,1:29.069,3
2004,Europe,9,3, Montoya,Williams BMW,1:29.092,3
2004,Europe,10,17, Panis,Toyota,1:29.243,3
2004,Europe,11,16, da Matta,Toyota,1:29.272,3
2004,Europe,12,11, Fisichella,Sauber Petronas,1:29.327,5
2004,Europe,13,7, Trulli,Renault,1:29.905,3
2004,Europe,14,14, Webber,Jaguar Cosworth,1:30.579,3
2004,Europe,15,15, Klien,Jaguar Cosworth,1:30.933,4
2004,Europe,16,12, Massa,Sauber Petronas,1:31.879,3
2004,Europe,17,19, Pantano,Jordan Ford,1:31.928,3
2004,Europe,18,18, Heidfeld,Jordan Ford,1:32.216,3
2004,Europe,19,21, Baumgartner,Minardi Cosworth,1:33.061,3
2004,Europe,20,20, Bruni,Minardi Cosworth,1:33.077,3
2004,Canada,1,4, Schumacher,Williams BMW,1:12.441,3
2004,Canada,2,3, Montoya,Williams BMW,1:12.746,3
2004,Canada,3,8, Alonso,Renault,1:12.826,3
2004,Canada,4,10, Sato,BAR Honda,1:12.989,3
2004,Canada,5,7, Trulli,Renault,1:13.149,3
2004,Canada,6,5, Coulthard,McLaren Mercedes,1:13.206,3
2004,Canada,7,9, Button,BAR Honda,1:13.333,3
2004,Canada,8,1, Schumacher,Ferrari,1:13.463,3
2004,Canada,9,6, Räikkönen,McLaren Mercedes,1:13.602,3
2004,Canada,10,11, Fisichella,Sauber Petronas,1:13.663,3
2004,Canada,11,2, Barrichello,Ferrari,1:13.782,3
2004,Canada,12,16, da Matta,Toyota,1:13.807,3
2004,Canada,13,17, Panis,Toyota,1:14.166,3
2004,Canada,14,12, Massa,Sauber Petronas,1:14.392,3
2004,Canada,15,14, Webber,Jaguar Cosworth,1:14.715,3
2004,Canada,16,15, Klien,Jaguar Cosworth,1:14.751,3
2004,Canada,17,18, Heidfeld,Jordan Ford,1:15.657,3
2004,Canada,18,19, Glock,Jordan Ford,1:16.865,3
2004,Canada,19,21, Baumgartner,Minardi Cosworth,1:17.903,3
2004,Canada,20,20, Bruni,Minardi Cosworth,,1
2004,United States,1,2, Barrichello,Ferrari,1:09.454,3
2004,United States,2,3, Montoya,Williams BMW,1:09.824,3
2004,United States,3,17, Panis,Toyota,1:09.923,3
2004,United States,4,10, Sato,BAR Honda,1:10.002,3
2004,United States,5,4, Schumacher,Williams BMW,1:10.003,3
2004,United States,6,8, Alonso,Renault,1:10.078,3
