year,race,position,number,driver,car,laps,time,points
1967,Monaco,NC,23, Gurney,Eagle Weslake,4,DNF,0
1967,Monaco,NC,2, Servoz-Gavin,Matra Ford,4,DNF,0
1967,Monaco,NC,8, Brabham,Brabham Repco,0,DNF,0
1967,Netherlands,1,5, Clark,Lotus Ford,90,2:14:45.100,9
1967,Netherlands,2,1, Brabham,Brabham Repco,90,+23.600s,6
1967,Netherlands,3,2, Hulme,Brabham Repco,90,+25.700s,4
1967,Netherlands,4,3, Amon,Ferrari,90,+27.300s,3
1967,Netherlands,5,4, Parkes,Ferrari,89,+1 lap,2
1967,Netherlands,6,22, Scarfiotti,Ferrari,89,+1 lap,1
1967,Netherlands,7,18, Irwin,Lotus BRM,88,+2 laps,0
1967,Netherlands,8,10, Spence,BRM,87,+3 laps,0
1967,Netherlands,9,21, Anderson,Brabham Climax,86,+4 laps,0
1967,Netherlands,10,20, Siffert,Cooper Maserati,83,+7 laps,0
1967,Netherlands,NC,7, Surtees,Honda,73,DNF,0
1967,Netherlands,NC,9, Stewart,BRM,51,DNF,0
1967,Netherlands,NC,12, Rindt,Cooper Maserati,41,DNF,0
1967,Netherlands,NC,14, Rodriguez,Cooper Maserati,39,DNF,0
1967,Netherlands,NC,6, Hill,Lotus Ford,11,DNF,0
1967,Netherlands,NC,15, Gurney,Eagle Weslake,8,DNF,0
1967,Netherlands,NC,17, McLaren,McLaren BRM,1,DNF,0
1967,Belgium,1,36, Gurney,Eagle Weslake,28,1:40:49.400,9
1967,Belgium,2,14, Stewart,BRM,28,+63.000s,6
1967,Belgium,3,1, Amon,Ferrari,28,+100.000s,4
1967,Belgium,4,29, Rindt,Cooper Maserati,28,+133.900s,3
1967,Belgium,5,12, Spence,BRM,27,+1 lap,2
1967,Belgium,6,21, Clark,Lotus Ford,27,+1 lap,1
1967,Belgium,7,34, Siffert,Cooper Maserati,27,+1 lap,0
1967,Belgium,8,19, Anderson,Brabham Climax,26,+2 laps,0
1967,Belgium,9,30, Rodriguez,Cooper Maserati,25,DNF,0
1967,Belgium,10,32, Ligier,Cooper Maserati,25,+3 laps,0
1967,Belgium,NC,2, Scarfiotti,Ferrari,24,+4 laps,0
1967,Belgium,NC,25, Brabham,Brabham Repco,15,DNF,0
1967,Belgium,NC,26, Hulme,Brabham Repco,14,DNF,0
1967,Belgium,NC,39, Bonnier,Cooper Maserati,10,DNF,0
1967,Belgium,NC,22, Hill,Lotus Ford,3,DNF,0
1967,Belgium,NC,17, Irwin,BRM,1,DNF,0
1967,Belgium,NC,7, Surtees,Honda,1,DNF,0
1967,Belgium,NC,3, Parkes,Ferrari,0,DNF,0
1967,France,1,3, Brabham,Brabham Repco,80,2:13:21.300,9
1967,France,2,4, Hulme,Brabham Repco,80,+49.500s,6
1967,France,3,10, Stewart,BRM,79,+1 lap,4
