year,race,position,number,driver,car,laps,time,points
2023,Great Britain,8,23, Albon,,52,+17.878s,4
2023,Great Britain,9,16, Leclerc,,52,+18.689s,2
2023,Great Britain,10,55, Sainz,,52,+19.448s,1
2023,Great Britain,11,2, Sargeant,,52,+23.632s,0
2023,Great Britain,12,77, Bottas,,52,+25.830s,0
2023,Great Britain,13,27, Hulkenberg,,52,+26.663s,0
2023,Great Britain,14,18, Stroll,,52,+27.483s,0
2023,Great Britain,15,24,Zhou ,,52,+29.820s,0
2023,Great Britain,16,22, Tsunoda,,52,+31.225s,0
2023,Great Britain,17,21, De Vries,,52,+33.128s,0
2023,Great Britain,18,10, Gasly,,46,DNF,0
2023,Great Britain,NC,20, Magnussen,,31,DNF,0
2023,Great Britain,NC,31, Ocon,,9,DNF,0
2023,Hungary,1,1, Verstappen,,70,1:38:08.634,26
2023,Hungary,2,4, Norris,,70,+33.731s,18
2023,Hungary,3,11, Perez,,70,+37.603s,15
2023,Hungary,4,44, Hamilton,,70,+39.134s,12
2023,Hungary,5,81, Piastri,,70,+62.572s,10
2023,Hungary,6,63, Russell,,70,+65.825s,8
2023,Hungary,7,16, Leclerc,,70,+70.317s,6
2023,Hungary,8,55, Sainz,,70,+71.073s,4
2023,Hungary,9,14, Alonso,,70,+75.709s,2
2023,Hungary,10,18, Stroll,,69,+1 lap,1
2023,Hungary,11,23, Albon,,69,+1 lap,0
2023,Hungary,12,77, Bottas,,69,+1 lap,0
2023,Hungary,13,3, Ricciardo,,69,+1 lap,0
2023,Hungary,14,27, Hulkenberg,,69,+1 lap,0
2023,Hungary,15,22, Tsunoda,,69,+1 lap,0
2023,Hungary,16,24,Zhou ,,69,+1 lap,0
2023,Hungary,17,20, Magnussen,,69,+1 lap,0
2023,Hungary,18,2, Sargeant,,67,DNF,0
2023,Hungary,NC,31, Ocon,,2,DNF,0
2023,Hungary,NC,10, Gasly,,1,DNF,0
2023,Belgium,1,1, Verstappen,,44,1:22:30.450,25
2023,Belgium,2,11, Perez,,44,+22.305s,18
2023,Belgium,3,16, Leclerc,,44,+32.259s,15
2023,Belgium,4,44, Hamilton,,44,+49.671s,13
2023,Belgium,5,14, Alonso,,44,+56.184s,10
2023,Belgium,6,63, Russell,,44,+63.101s,8
2023,Belgium,7,4, Norris,,44,+73.719s,6
2023,Belgium,8,31, Ocon,,44,+74.719s,4
2023,Belgium,9,18, Stroll,,44,+79.340s,2
2023,Belgium,10,22, Tsunoda,,44,+80.221s,1
2023,Belgium,11,10, Gasly,,44,+83.084s,0
2023,Belgium,12,77, Bottas,,44,+85.191s,0
2023,Belgium,13,24,Zhou ,,44,+95.441s,0
2023,Belgium,14,23, Albon,,44,+96.184s,0
2023,Belgium,15,20, Magnussen,,44,+101.754s,0
2023,Belgium,16,3, Ricciardo,,44,+103.071s,0
2023,Belgium,17,2, Sargeant,,44,+104.476s,0
2023,Belgium,18,27, Hulkenberg,,44,+110.450s,0
2023,Belgium,NC,55, Sainz,,23,DNF,0
2023,Belgium,NC,81, Piastri,,0,DNF,0
2023,Netherlands,1,1, Verstappen,,72,2:24:04.411,25
2023,Netherlands,2,14, Alonso,,72,+3.744s,19
2023,Netherlands,3,10, Gasly,,72,+7.058s,15
2023,Netherlands,4,11, Perez,,72,+10.068s,12
2023,Netherlands,5,55, Sainz,,72,+12.541s,10
2023,Netherlands,6,44, Hamilton,,72,+13.209s,8
2023,Netherlands,7,4, Norris,,72,+13.232s,6
2023,Netherlands,8,23, Albon,,72,+15.155s,4
2023,Netherlands,9,81, Piastri,,72,+16.580s,2
2023,Netherlands,10,31, Ocon,,72,+18.346s,1
2023,Netherlands,11,18, Stroll,,72,+20.087s,0
2023,Netherlands,12,27, Hulkenberg,,72,+20.840s,0
2023,Netherlands,13,40, Lawson,,72,+26.147s,0
2023,Netherlands,14,77, Bottas,,72,+27.388s,0
2023,Netherlands,15,22, Tsunoda,,72,+29.893s,0
2023,Netherlands,16,20, Magnussen,,72,+31.410s,0
2023,Netherlands,17,63, Russell,,72,+55.754s,0
2023,Netherlands,NC,24,Zhou ,,62,DNF,0
2023,Netherlands,NC,16, Leclerc,,41,DNF,0
2023,Netherlands,NC,2, Sargeant,,14,DNF,0
2023,Italy,1,1, Verstappen,,51,1:13:41.143,25
2023,Italy,2,11, Perez,,51,+6.064s,18
2023,Italy,3,55, Sainz,,51,+11.193s,15
2023,Italy,4,16, Leclerc,,51,+11.377s,12
2023,Italy,5,63, Russell,,51,+23.028s,10
2023,Italy,6,44, Hamilton,,51,+42.679s,8
2023,Italy,7,23, Albon,,51,+45.106s,6
2023,Italy,8,4, Norris,,51,+45.449s,4
2023,Italy,9,14, Alonso,,51,+46.294s,2
2023,Italy,10,77, Bottas,,51,+64.056s,1
2023,Italy,11,40, Lawson,,51,+70.638s,0
2023,Italy,12,81, Piastri,,51,+73.074s,0
2023,Italy,13,2, Sargeant,,51,+78.557s,0
2023,Italy,14,24,Zhou ,,51,+80.164s,0
2023,Italy,15,10, Gasly,,51,+82.510s,0
2023,Italy,16,18, Stroll,,51,+87.266s,0
2023,Italy,17,27, Hulkenberg,,50,+1 lap,0
2023,Italy,18,20, Magnussen,,50,+1 lap,0
2023,Italy,NC,31, Ocon,,39,DNF,0
2023,Italy,NC,22, Tsunoda,,0,DNS,0
2023,Singapore,1,55, Sainz,,62,1:46:37.418,25
2023,Singapore,2,4, Norris,,62,+0.812s,18
2023,Singapore,3,44, Hamilton,,62,+1.269s,16
2023,Singapore,4,16, Leclerc,,62,+21.177s,12
2023,Singapore,5,1, Verstappen,,62,+21.441s,10
2023,Singapore,6,10, Gasly,,62,+38.441s,8
2023,Singapore,7,81, Piastri,,62,+41.479s,6
2023,Singapore,8,11, Perez,,62,+59.534s,4
2023,Singapore,9,40, Lawson,,62,+65.918s,2
2023,Singapore,10,20, Magnussen,,62,+72.116s,1
2023,Singapore,11,23, Albon,,62,+73.417s,0
2023,Singapore,12,24,Zhou ,,62,+83.649s,0
2023,Singapore,13,27, Hulkenberg,,62,+86.201s,0
2023,Singapore,14,2, Sargeant,,62,+86.889s,0
2023,Singapore,15,14, Alonso,,62,+87.603s,0
2023,Singapore,16,63, Russell,,61,DNF,0
2023,Singapore,NC,77, Bottas,,51,DNF,0
2023,Singapore,NC,31, Ocon,,42,DNF,0
2023,Singapore,NC,22, Tsunoda,,0,DNF,0
2023,Japan,1,1, Verstappen,,53,1:30:58.421,26
2023,Japan,2,4, Norris,,53,+19.387s,18
2023,Japan,3,81, Piastri,,53,+36.494s,15
2023,Japan,4,16, Leclerc,,53,+43.998s,12
2023,Japan,5,44, Hamilton,,53,+49.376s,10
2023,Japan,6,55, Sainz,,53,+50.221s,8
2023,Japan,7,63, Russell,,53,+57.659s,6
2023,Japan,8,14, Alonso,,53,+74.725s,4
2023,Japan,9,31, Ocon,,53,+79.678s,2
2023,Japan,10,10, Gasly,,53,+83.155s,1
2023,Japan,11,40, Lawson,,52,+1 lap,0
2023,Japan,12,22, Tsunoda,,52,+1 lap,0
2023,Japan,13,24,Zhou ,,52,+1 lap,0
2023,Japan,14,27, Hulkenberg,,52,+1 lap,0
2023,Japan,15,20, Magnussen,,52,+1 lap,0
2023,Japan,NC,23, Albon,,26,DNF,0
2023,Japan,NC,2, Sargeant,,22,DNF,0
2023,Japan,NC,18, Stroll,,20,DNF,0
2023,Japan,NC,11, Perez,,15,DNF,0
2023,Japan,NC,77, Bottas,,7,DNF,0
2023,Qatar,1,1, Verstappen,,57,1:27:39.168,26
2023,Qatar,2,81, Piastri,,57,+4.833s,18
2023,Qatar,3,4, Norris,,57,+5.969s,15
2023,Qatar,4,63, Russell,,57,+34.119s,12
2023,Qatar,5,16, Leclerc,,57,+38.976s,10
2023,Qatar,6,14, Alonso,,57,+49.032s,8
2023,Qatar,7,31, Ocon,,57,+62.390s,6
2023,Qatar,8,77, Bottas,,57,+66.563s,4
2023,Qatar,9,24,Zhou ,,57,+76.127s,2
2023,Qatar,10,11, Perez,,57,+80.181s,1
2023,Qatar,11,18, Stroll,,57,+81.652s,0
2023,Qatar,12,10, Gasly,,57,+82.300s,0
2023,Qatar,13,23, Albon,,57,+91.014s,0
2023,Qatar,14,20, Magnussen,,56,+1 lap,0
2023,Qatar,15,22, Tsunoda,,56,+1 lap,0
2023,Qatar,16,27, Hulkenberg,,56,+1 lap,0
2023,Qatar,17,40, Lawson,,56,+1 lap,0
2023,Qatar,NC,2, Sargeant,,40,DNF,0
2023,Qatar,NC,44, Hamilton,,0,DNF,0
2023,Qatar,NC,55, Sainz,,0,DNS,0
2023,United States,1,1, Verstappen,,56,1:35:21.362,25
2023,United States,DQ,44, Hamilton,,56,+2.225s,0
2023,United States,2,4, Norris,,56,+10.730s,0
2023,United States,3,55, Sainz,,56,+15.134s,0
2023,United States,4,11, Perez,,56,+18.460s,0
2023,United States,DQ,16, Leclerc,,56,+24.662s,0
2023,United States,5,63, Russell,,56,+24.999s,0
2023,United States,6,10, Gasly,,56,+47.996s,0
2023,United States,7,18, Stroll,,56,+48.696s,0
2023,United States,8,22, Tsunoda,,56,+74.385s,0
2023,United States,9,23, Albon,,56,+86.714s,0
2023,United States,10,2, Sargeant,,56,+87.998s,0
2023,United States,11,27, Hulkenberg,,56,+89.904s,0
2023,United States,12,77, Bottas,,56,+98.601s,0
2023,United States,13,24,Zhou ,,55,+1 lap,0
2023,United States,14,20, Magnussen,,55,+1 lap,0
2023,United States,15,3, Ricciardo,,55,+1 lap,0
2023,United States,NC,14, Alonso,,49,DNF,0
2023,United States,NC,81, Piastri,,10,DNF,0
2023,United States,NC,31, Ocon,,6,DNF,0
2023,Mexico,1,1, Verstappen,,71,2:02:30.814,25
2023,Mexico,2,44, Hamilton,,71,+13.875s,19
2023,Mexico,3,16, Leclerc,,71,+23.124s,15
2023,Mexico,4,55, Sainz,,71,+27.154s,12
2023,Mexico,5,4, Norris,,71,+33.266s,10
2023,Mexico,6,63, Russell,,71,+41.020s,8
2023,Mexico,7,3, Ricciardo,,71,+41.570s,6
2023,Mexico,8,81, Piastri,,71,+43.104s,4
2023,Mexico,9,23, Albon,,71,+48.573s,2
2023,Mexico,10,31, Ocon,,71,+62.879s,1
2023,Mexico,11,10, Gasly,,71,+66.208s,0
2023,Mexico,12,22, Tsunoda,,71,+78.982s,0
